iter	MultiClass
0	1.006766275
1	0.9288721549
2	0.8616688522
3	0.7988181144
4	0.7423203504
5	0.690310066
6	0.6505280162
7	0.6121662066
8	0.5750709908
9	0.5413266864
10	0.5135777577
11	0.4895441851
12	0.4660272198
13	0.4448008987
14	0.4209388462
15	0.4024675506
16	0.3823155136
17	0.3661854474
18	0.3498348713
19	0.3355547695
20	0.3221375623
21	0.309073683
22	0.2957456671
23	0.283795538
24	0.2742488297
25	0.2656618037
26	0.256851756
27	0.2490708563
28	0.2400849666
29	0.232720768
30	0.2249834809
31	0.2168929809
32	0.2111309437
33	0.204491115
34	0.1983338002
35	0.1937168481
36	0.1887186929
37	0.1840440074
38	0.1791517427
39	0.1741230588
40	0.1708327669
41	0.1670353181
42	0.1639064372
43	0.1603882485
44	0.1571848527
45	0.1538184167
46	0.1508377166
47	0.147849053
48	0.1442944304
49	0.1411653969
50	0.1381219803
51	0.1352974531
52	0.1320604037
53	0.1294395633
54	0.1275528427
55	0.1262110366
56	0.1233234279
57	0.1204337579
58	0.118308188
59	0.1167544382
60	0.1147920522
61	0.1128223481
62	0.1104222592
63	0.1079277589
64	0.1065735812
65	0.1038546
66	0.1019226474
67	0.1003323544
68	0.0985560219
69	0.0969300392
70	0.09527651549
71	0.09399940132
72	0.09245610177
73	0.09038084067
74	0.08899759545
75	0.0876244172
76	0.08662627746
77	0.08559524106
78	0.08430871256
79	0.08322299883
80	0.08180826175
81	0.08068294628
82	0.079769784
83	0.07889148404
84	0.07787995185
85	0.07694864761
86	0.07590560212
87	0.07501029367
88	0.07430690288
89	0.07358383624
90	0.07265313863
91	0.07194247044
92	0.07089871405
93	0.06966303043
94	0.06867071143
95	0.06779116043
96	0.06681183791
97	0.06595208266
98	0.06518896895
99	0.06436756388
100	0.06340801495
101	0.06223225839
102	0.06132867537
103	0.06071696938
104	0.06009091653
105	0.05921129666
106	0.05849465942
107	0.05795941358
108	0.0573787828
109	0.05655705758
110	0.0556478322
111	0.05495691607
112	0.05436419907
113	0.05362061957
114	0.05300384014
115	0.05225302495
116	0.05155367438
117	0.0510347255
118	0.05041881114
119	0.04981362332
120	0.04902099521
