iter	Passed	Remaining
436	1167	1504
437	1168	1499
438	1169	1494
439	1170	1489
440	1171	1485
441	1172	1480
442	1173	1475
443	1174	1470
444	1175	1466
445	1176	1461
446	1177	1457
447	1179	1452
448	1180	1448
449	1180	1443
450	1181	1438
451	1183	1434
452	1184	1429
453	1185	1425
454	1186	1420
455	1186	1415
456	1188	1411
457	1189	1407
458	1190	1402
459	1191	1398
460	1192	1393
461	1193	1389
462	1194	1384
463	1194	1380
464	1195	1375
465	1196	1371
466	1197	1367
467	1198	1362
468	1199	1358
469	1200	1353
470	1201	1349
471	1202	1345
472	1203	1340
473	1204	1336
474	1205	1332
475	1206	1327
476	1207	1323
477	1208	1319
478	1209	1315
479	1210	1310
480	1211	1306
481	1211	1302
482	1212	1298
483	1213	1294
484	1214	1289
485	1215	1285
486	1216	1281
487	1217	1277
488	1218	1273
489	1219	1269
490	1220	1265
491	1221	1261
492	1222	1257
493	1223	1253
494	1224	1249
495	1225	1244
496	1226	1240
497	1226	1236
498	1227	1232
499	1228	1228
500	1229	1224
501	1230	1220
502	1231	1216
503	1232	1212
504	1233	1209
505	1234	1205
506	1235	1201
507	1236	1197
508	1237	1193
509	1237	1189
510	1238	1185
511	1239	1181
512	1240	1177
513	1241	1174
514	1242	1170
515	1243	1166
516	1244	1162
517	1245	1158
518	1246	1155
519	1247	1151
520	1248	1147
521	1249	1144
522	1250	1140
523	1251	1136
524	1252	1132
525	1253	1129
526	1254	1125
527	1255	1122
528	1256	1118
529	1257	1115
530	1258	1111
531	1259	1108
532	1260	1104
533	1261	1101
534	1262	1097
535	1263	1094
536	1264	1090
537	1265	1087
538	1266	1083
539	1267	1080
540	1268	1076
541	1269	1072
542	1271	1069
543	1271	1066
544	1273	1062
545	1274	1059
546	1275	1056
547	1276	1052
548	1277	1049
549	1278	1045
550	1279	1042
551	1280	1039
552	1281	1036
553	1282	1032
554	1283	1029
555	1284	1025
556	1285	1022
557	1286	1019
558	1287	1015
559	1288	1012
560	1289	1008
561	1290	1005
562	1291	1002
563	1292	998
564	1293	995
565	1294	992
566	1295	989
567	1296	985
568	1297	982
569	1298	979
570	1298	975
571	1299	972
572	1300	969
573	1301	966
574	1302	962
575	1303	959
576	1304	956
577	1305	953
578	1306	950
579	1307	946
580	1308	943
581	1309	940
582	1310	937
583	1311	934
584	1312	931
585	1313	928
586	1314	925
587	1315	921
588	1316	918
589	1317	915
590	1318	912
591	1319	909
592	1320	906
593	1321	903
594	1322	900
595	1323	897
596	1324	894
597	1325	891
598	1326	888
599	1327	885
600	1328	881
601	1329	878
602	1330	875
